Tag,Name,Map Position,Total War Participated,Attacks Made,Total Stars,Total Destruction,Average Stars,Average Destruction
#80P8UPUG,thekojiman,3,7,7,14,591,2.0,84.42857142857143
#2PRPCLLUY,bob the third,16,2,0,0,0,0,0
#2982YPYV,~ iPlayLOL ~,10,7,7,16,630,2.2857142857142856,90.0
#8CYCYPGLG,ダスデ,7,7,7,20,699,2.857142857142857,99.85714285714286
#28CPYJ902,Akita,25,7,7,19,676,2.7142857142857144,96.57142857142857
#8JVVLYQ2U,DawsoD,4,7,7,17,631,2.4285714285714284,90.14285714285714
#QGLPVRGU2,StruggleHuggle,18,7,7,14,512,2.0,73.14285714285714
#2PL09JP8R,bmbbeats,15,7,7,13,475,1.8571428571428572,67.85714285714286
#PQ8GV8U,super d,1,7,7,17,672,2.4285714285714284,96.0
#L8GR8VUY,irina,13,7,6,11,411,1.8333333333333333,68.5
#2QYGQ9CQL,Uncle Grandpa,22,7,7,15,585,2.142857142857143,83.57142857142857
#98QCYG9G2,BLAZE AND ICE,12,7,7,10,493,1.4285714285714286,70.42857142857143
#P0LPJPR2,DawsoD’s Uncle,19,7,7,18,675,2.5714285714285716,96.42857142857143
#JU9QRQLJ,Theron927,5,5,4,5,327,1.25,81.75
#QYR0R8YVP,博马涅,21,7,6,13,526,2.1666666666666665,87.66666666666667
#9URGG2CY,Joe Kelly,26,3,2,5,195,2.5,97.5
#GCPPUCGQ,YouWithTheFace,8,2,0,0,0,0,0
#Q8RJV82YL,Whiskeywolf187,29,1,1,0,31,0.0,31.0
#LYR9RG0J8,dampmcmuffin,32,1,1,3,100,3.0,100.0
