Tag,Name,Map Position,Total War Participated,Attacks Made,Total Stars,Total Destruction,Average Stars,Average Destruction
#80P8UPUG,thekojiman,3,7,7,17,610,2.4285714285714284,87.14285714285714
#2982YPYV,~ iPlayLOL ~,10,7,7,14,599,2.0,85.57142857142857
#8CYCYPGLG,ダスデ,7,7,7,15,626,2.142857142857143,89.42857142857143
#28CPYJ902,Akita,25,4,4,11,382,2.75,95.5
#8JVVLYQ2U,DawsoD,4,7,7,16,669,2.2857142857142856,95.57142857142857
#QGLPVRGU2,StruggleHuggle,19,7,7,13,482,1.8571428571428572,68.85714285714286
#2PL09JP8R,bmbbeats,16,7,2,4,125,2.0,62.5
#PQ8GV8U,super d,1,7,7,21,700,3.0,100.0
#L8GR8VUY,irina,17,7,7,16,552,2.2857142857142856,78.85714285714286
#2QYGQ9CQL,Uncle Grandpa,22,7,4,4,241,1.0,60.25
#98QCYG9G2,BLAZE AND ICE,18,7,6,10,464,1.6666666666666667,77.33333333333333
#P0LPJPR2,DawsoD’s Uncle,23,7,4,9,356,2.25,89.0
#JU9QRQLJ,Theron927,5,7,5,7,326,1.4,65.2
#228C8CP0,vionadebbs,11,7,7,12,487,1.7142857142857142,69.57142857142857
#QYR0R8YVP,博马涅,21,7,6,14,520,2.3333333333333335,86.66666666666667
#QYGQ090PR,Murk Fest,9,3,3,4,168,1.3333333333333333,56.0
