Tag,Name,Map Position,Total War Participated,Attacks Made,Total Stars,Total Destruction,Average Stars,Average Destruction
#80P8UPUG,thekojiman,2,7,7,18,635,2.5714285714285716,90.71428571428571
#LCUQL8Q9C,FancySky,37,7,7,18,614,2.5714285714285716,87.71428571428571
#2PRPCLLUY,bob the third,18,7,6,11,448,1.8333333333333333,74.66666666666667
#2982YPYV,~ iPlayLOL ~,11,7,7,12,547,1.7142857142857142,78.14285714285714
#8CYCYPGLG,ダスデ,6,7,7,19,630,2.7142857142857144,90.0
#28CPYJ902,AKgamer243,29,7,7,17,624,2.4285714285714284,89.14285714285714
#8JVVLYQ2U,DawsoD,3,7,7,15,583,2.142857142857143,83.28571428571429
#QLVGU2U8V,elle juliet,13,3,2,6,200,3.0,100.0
#QGLPVRGU2,StruggleHuggle,24,7,7,19,627,2.7142857142857144,89.57142857142857
#Q8QUU888P,King Harlon,12,7,6,17,583,2.8333333333333335,97.16666666666667
#PQ8GV8U,super d,1,7,7,19,693,2.7142857142857144,99.0
#L8GR8VUY,irina,21,7,7,16,604,2.2857142857142856,86.28571428571429
#2QYGQ9CQL,Uncle Grandpa,32,7,7,15,577,2.142857142857143,82.42857142857143
#P0LPJPR2,DawsoD’s Uncle,25,7,7,20,662,2.857142857142857,94.57142857142857
#JU9QRQLJ,Theron927,4,7,7,14,569,2.0,81.28571428571429
#Q0QJJCL0,strahovski,21,4,4,9,336,2.25,84.0
