Tag,Name,Role,Townhall Level,Trophy Count,Best Trophy Count,War Stars,Troops Donated,Troops Received,Clan Game Points,Clan Capital Points
#PQ8GV8U,super d,coLeader,14,4386,4880,634,516,308,0,133016
#80P8UPUG,thekojiman,leader,12,3666,3769,242,1947,72,0,165265
#8JVVLYQ2U,DawsoD,coLeader,12,3642,3822,880,520,1695,0,113134
#2982YPYV,~ iPlayLOL ~,coLeader,11,3232,3392,266,694,14,0,122185
#YCQVCURQJ,Sam,admin,14,2810,5158,1343,0,0,0,100
#JU9QRQLJ,Theron927,admin,12,2780,3299,511,208,407,0,30550
#2PL09JP8R,bmbbeats,admin,11,2684,3076,125,0,0,0,85826
#YJPQQJ80L,reachel___,member,10,2632,2632,140,68,66,0,54521
#2P8CVY0JG,socks,admin,12,2630,2770,31,0,0,0,76945
#8CYCYPGLG,ダスデ,coLeader,13,2579,2824,739,2126,420,0,116564
#GCPPUCGQ,YouWithTheFace,admin,13,2368,2513,19,31,0,0,38518
#QYGQ090PR,Murk Fest,admin,12,2356,2407,33,617,948,0,70491
#PV0UPP080,aditcag,member,10,2294,2387,289,47,66,0,54414
#QGLPVRGU2,StruggleHuggle,coLeader,10,2292,2293,225,2,144,0,138494
#228C8CP0,vionadebbs,admin,11,2210,2679,333,440,172,0,82610
#L8GR8VUY,irina,admin,10,2203,2385,239,0,214,0,138548
#QYR0R8YVP,博马涅,admin,10,2200,2498,178,0,927,0,101005
#28CPYJ902,Akita,admin,10,2190,2220,162,9,205,0,119563
#GJPQGQRR,SUNSKARR,member,12,2181,2762,378,0,75,0,100
#P0LPJPR2,DawsoD’s Uncle,admin,10,2112,2472,237,0,558,0,52629
#2QYGQ9CQL,Uncle Grandpa,admin,10,2014,2090,186,0,0,0,76155
#Q02CQ90CC,Emilio,admin,10,1986,2096,0,0,31,0,21950
#LUCUVV9CC,7AFEZ,admin,10,1947,2054,64,86,185,0,350
#G08JGJPL,Jimbob,member,11,1934,2833,199,0,331,0,35722
#LYR9RG0J8,dampmcmuffin,admin,10,1913,2039,52,0,66,0,78423
#9URGG2CY,Joe Kelly,member,10,1851,2155,162,0,0,0,15390
#98QCYG9G2,BLAZE AND ICE,member,11,1795,2200,274,0,1,0,69796
#LGVLRGGQJ,Hokage,member,11,1785,1922,35,0,0,0,89216
#LJ82GPRV8,mdj0131,member,11,1772,1852,17,5,0,0,1600
#22YYGV0Y,Bob the builder,member,10,1749,2517,280,0,0,0,0
#8PRP9L28Q,Eknight_Br,admin,10,1739,1911,473,0,0,0,26575
#YUQ298QJG,JacksonFoxDog17,admin,10,1739,1777,37,135,264,0,99633
#P99PQRL22,chickenpotpie,coLeader,9,1588,1619,79,0,88,0,117877
#QJPV0YP9U,gabe,admin,9,1587,1773,29,130,0,0,87857
#2PRPCLLUY,bob the third,admin,10,1584,1806,209,0,0,0,19116
#9UPVVQR92,$laapy*,admin,10,1563,1625,34,0,0,0,106260
#P2RQ9YGYG,Keventh,member,10,1518,1708,110,0,0,0,0
#GQ2GU92J,BeastDirtBag,member,9,1498,2598,111,0,31,0,0
#Q8RJV82YL,Whiskeywolf187,admin,10,1448,1417,62,0,0,0,38732
#PGPC99JRV,og.sethh,member,9,1364,1926,64,0,0,0,400
#QR8C0ULGV,先輩 senpai d,admin,9,1334,1344,48,111,0,0,93701
#QJGQJPC88,Big T,admin,9,1276,1303,14,8,392,0,48807
#YVGR8RVLL,( ͡° ͜ʖ ͡°),member,7,1221,1235,1,0,0,0,47439
#J0QVLGVJ,Neophyte,member,9,1048,1389,1,0,0,0,17660
#QJJCQ9RJ9,Chickenpotpie14,member,8,976,1088,33,0,20,0,117660
#LY89CVUYL,abibliophobix,admin,9,937,1316,17,0,0,0,50365
#QG82JUGJ0,FancyFrank$,admin,8,832,1309,4,0,0,0,28843
#QP0GV992J,Hideki,member,7,644,652,0,0,0,0,0
