Tag,Name,Role,Townhall Level,Trophy Count,Best Trophy Count,War Stars,Troops Donated,Troops Received,Clan Game Points,Clan Capital Points
#PQ8GV8U,super d,coLeader,14,4395,4880,652,314,24,0,220872
#80P8UPUG,thekojiman,leader,12,3594,3769,269,1774,72,0,217204
#2982YPYV,~ iPlayLOL ~,coLeader,12,3350,3392,286,195,74,0,172914
#8JVVLYQ2U,DawsoD,coLeader,12,3346,3822,896,353,206,0,147915
#YCQVCURQJ,Sam,admin,14,2899,5158,1343,0,0,0,100
#82YC2CJ0U,Hikaru,member,11,2832,3255,447,263,206,0,2500
#YJPQQJ80L,reachel___,admin,10,2813,2970,173,148,132,0,96888
#JU9QRQLJ,Theron927,admin,12,2701,3299,523,77,368,0,41150
#GCPPUCGQ,YouWithTheFace,admin,13,2634,2634,24,53,66,0,94939
#2P8CVY0JG,socks,admin,12,2451,2770,31,0,0,0,107300
#2PL09JP8R,bmbbeats,admin,11,2428,3076,135,0,0,0,110826
#8CYCYPGLG,ダスデ,coLeader,13,2426,2824,771,421,0,0,141564
#28CPYJ902,Akita,admin,10,2409,2486,172,0,107,0,175338
#QYGQ090PR,Murk Fest,admin,12,2363,2407,36,1072,1137,0,109875
#228C8CP0,vionadebbs,admin,11,2349,2679,343,536,36,0,123480
#QGLPVRGU2,StruggleHuggle,coLeader,10,2332,2467,235,25,108,0,195564
#GJPQGQRR,SUNSKARR,member,12,2237,2762,378,14,0,0,100
#L8GR8VUY,irina,admin,10,2222,2385,259,1,175,0,194017
#98QCYG9G2,BLAZE AND ICE,member,11,2199,2228,283,0,208,0,111742
#G08JGJPL,Jimbob,member,11,2151,2833,202,0,794,0,35722
#PV0UPP080,aditcag,member,10,2121,2387,289,4,0,0,68414
#P0LPJPR2,DawsoD’s Uncle,admin,10,2066,2472,243,0,330,0,52629
#LUCUVV9CC,7AFEZ,admin,10,2002,2093,66,0,391,0,350
#2QYGQ9CQL,Uncle Grandpa,admin,10,2001,2101,191,0,132,0,94120
#QYR0R8YVP,博马涅,admin,10,1939,2498,190,0,334,0,139085
#LYR9RG0J8,dampmcmuffin,admin,10,1920,2039,59,52,66,0,82973
#Q02CQ90CC,Emilio,admin,10,1906,2096,0,0,0,0,24750
#22YYGV0Y,Bob the builder,member,11,1872,2517,280,50,68,0,0
#LGVLRGGQJ,Hokage,member,11,1837,1922,35,0,0,0,104550
#9URGG2CY,Joe Kelly,member,10,1826,2155,162,0,0,0,16790
#9UPVVQR92,$laapy*,admin,10,1731,1767,34,25,66,0,150890
#8PRP9L28Q,Eknight_Br,admin,10,1695,1911,476,0,0,0,75860
#GQ2GU92J,BeastDirtBag,member,10,1668,2598,111,0,0,0,0
#P99PQRL22,chickenpotpie,coLeader,10,1663,1692,86,0,0,0,173215
#YUQ298QJG,JacksonFoxDog17,admin,10,1654,1807,37,233,136,0,129223
#QJPV0YP9U,gabe,admin,10,1654,1773,33,25,31,0,111092
#L0LJCYUL9,camobamo,member,9,1542,1739,4,0,30,0,100
#2PRPCLLUY,bob the third,admin,10,1524,1806,209,0,0,0,19116
#QJGQJPC88,Big T,admin,9,1423,1457,14,0,307,0,61072
#Q8RJV82YL,Whiskeywolf187,admin,10,1412,1419,62,0,0,0,61852
#PGPC99JRV,og.sethh,member,9,1364,1926,64,0,0,0,400
#QR8C0ULGV,先輩 senpai d,admin,9,1281,1400,66,0,0,0,115028
#J0QVLGVJ,Neophyte,member,9,1131,1389,1,0,0,0,17660
#QJJCQ9RJ9,Chickenpotpie14,admin,9,1110,1110,35,0,0,0,167364
#YVGR8RVLL,( ͡° ͜ʖ ͡°),member,8,1101,1244,2,0,0,0,78938
#22RC8RJV,PhoKing,member,10,995,1898,363,0,31,0,100
#QP0GV992J,Hideki,member,9,923,944,0,0,0,0,2950
#LY89CVUYL,abibliophobix,admin,9,862,1316,17,0,0,0,50365
#QG82JUGJ0,FancyFrank$,admin,8,832,1309,4,0,0,0,28843
