Tag,Name,Role,Townhall Level,Trophy Count,Best Trophy Count,War Stars,Troops Donated,Troops Received,Clan Game Points
#80P8UPUG,thekojiman,leader,12,3315,3441,139,3592,1110,0
#8JVVLYQ2U,DawsoD,coLeader,11,2975,3236,768,1432,2307,0
#JU9QRQLJ,Theron927,member,12,2678,3299,442,83,66,0
#2982YPYV,~ iPlayLOL ~,coLeader,10,2566,2598,162,252,199,0
#Q8QUU888P,King Harlon,member,10,2391,5019,351,159,694,0
#UQURYCLL,Kadafi,admin,11,2101,2742,750,1,0,0
#2LCPJURVJ,Demetrix_Dead,member,10,1986,2175,86,2,0,0
#2QYGQ9CQL,Uncle Grandpa,admin,9,1902,1998,111,0,278,0
#URUYJ9GV,andrei,member,10,1892,2659,367,0,0,0
#8PRP9L28Q,Eknight_Br,member,10,1855,1911,469,1,0,0
#2UC20QVVP,=(EK/DUK)=,member,10,1848,2071,413,0,0,0
#QYR0R8YVP,博马涅,admin,9,1844,1956,89,78,525,0
#PQVPQCRU8,Clan Distroyer,member,9,1838,1853,122,21,31,0
#QGLPVRGU2,StruggleHuggle,coLeader,9,1695,1739,86,550,581,0
#9URGG2CY,Joe Kelly,admin,9,1681,2155,123,0,0,0
#8CYCYPGLG,ダスデ,coLeader,12,1671,2604,601,1622,1590,0
#8LYCU8RJ,pedrinhoo,member,10,1663,2345,175,0,0,0
#QG2LL0GYJ,yLK,member,10,1627,1627,12,0,66,0
#LG28VC99V,junin,member,9,1620,1714,5,0,0,0
#L9UCLVLUV,clash king,member,11,1573,1647,52,108,0,0
#YUQ298QJG,JacksonFoxDog17,member,9,1525,1531,19,137,31,0
#2PRPCLLUY,bob the third,member,9,1501,1806,192,144,0,0
#V8G8P2PU,jolene wood,member,11,1500,1558,358,34,61,0
#YVVJ0R922,engeldy,member,9,1467,1653,170,78,31,0
#QLY9J22LP,Pestilence23,admin,9,1465,1484,19,35,400,0
#UCQV00GV,ser vinicius,member,9,1464,1688,166,13,124,0
#QGGP2LLU0,Renanlandia,member,10,1459,1463,0,0,60,0
#QYP0Y909R,Denmark,admin,12,1412,1453,9,470,26,0
#Q02CQ90CC,Emilio,member,8,1342,1471,0,28,120,0
#QYP9R9G29,CãTë,member,8,1340,1490,37,40,211,0
#QLLQLCUP2,cebolhinha,member,9,1327,1453,18,0,0,0
#L8GR8VUY,irina,admin,9,1323,1479,101,0,30,0
#LCYJUC00Y,poes,member,11,1317,1634,14,0,0,0
#QGG0JG0UG,aca,member,10,1269,1271,1,0,15,0
#8J0PJLUQG,Mariana,member,9,1257,1708,46,10,0,0
#QJPV0YP9U,gabe,member,9,1257,1257,13,14,78,0
#QQJYGGYU2,azathoth,member,9,1174,1331,25,0,0,0
#QGPPRYVRY,zekinha,admin,8,1133,1135,35,1,0,0
#90CP09R0Y,coutinho,member,10,1132,1823,106,41,32,0
#28CPYJ902,AKgamer243,admin,8,1089,1483,42,116,180,0
#Q0PG9RQ8J,naruto,member,11,996,997,12,0,0,0
#8UVCQGCV2,IsraelF,member,8,967,1566,19,0,60,0
#QR0LGCYPY,davi,member,8,953,1424,35,0,0,0
#892Y228CY,kekelkakal,member,7,881,1113,21,0,60,0
#LGCLRPC9U,GOD2207,member,7,877,929,0,0,0,0
#P99PQRL22,chickenpotpie,admin,6,844,1002,3,0,15,0
#QQR08UPJC,Stillman,member,6,755,1018,6,181,40,0
