Tag,Name,Role,Townhall Level,Trophy Count,Best Trophy Count,War Stars,Troops Donated,Troops Received,Clan Game Points
#PQ8GV8U,super d,coLeader,14,4603,4880,613,502,381,0
#8JVVLYQ2U,DawsoD,coLeader,12,3795,3809,851,1024,3657,0
#80P8UPUG,thekojiman,leader,12,3560,3612,221,4573,410,0
#2982YPYV,~ iPlayLOL ~,coLeader,11,3089,3102,249,1650,367,0
#YCQVCURQJ,Sam,admin,14,3089,5158,1343,0,0,0
#2PL09JP8R,bmbbeats,admin,10,2905,3076,116,0,0,0
#JU9QRQLJ,Theron927,admin,12,2629,3299,501,71,298,0
#8CYCYPGLG,ダスデ,coLeader,13,2589,2725,704,5520,447,0
#2P8CVY0JG,socks,admin,12,2487,2552,31,0,426,0
#GCPPUCGQ,YouWithTheFace,admin,12,2394,2429,14,85,31,0
#QYR0R8YVP,博马涅,admin,10,2394,2482,144,79,1286,0
#P0LPJPR2,DawsoD’s Uncle,admin,10,2364,2472,213,73,829,0
#QYGQ090PR,Murk Fest,admin,12,2281,2337,30,196,428,0
#228C8CP0,vionadebbs,member,10,2279,2319,311,297,498,0
#G08JGJPL,Jimbob,member,10,2124,2833,199,0,0,0
#9LYGLQVJV,rc2,member,10,2113,2155,103,0,132,0
#Y8YRR8LLC,VOC•DRAXEN17,member,9,2094,2099,148,59,856,0
#PV0UPP080,aditcag,member,10,2092,2350,286,46,249,0
#2QYGQ9CQL,Uncle Grandpa,admin,10,2071,2090,177,1,66,0
#2CCQGCRL,jj,member,11,1998,2263,64,0,0,0
#L8GR8VUY,irina,admin,10,1993,2017,211,26,631,0
#QGLPVRGU2,StruggleHuggle,coLeader,10,1980,2065,194,0,562,0
#28CPYJ902,Akita,admin,10,1969,2006,141,43,657,0
#Q02CQ90CC,Emilio,admin,9,1964,2012,0,0,0,0
#9V0V98VUG,Luís,member,10,1924,2035,69,0,137,0
#98QCYG9G2,BLAZE AND ICE,admin,10,1915,2200,264,0,665,0
#YJPQQJ80L,reachel___,member,10,1910,2510,134,0,31,0
#LGVLRGGQJ,Hokage,member,11,1889,1914,35,0,30,0
#9URGG2CY,Joe Kelly,member,10,1825,2155,158,0,0,0
#LYR9RG0J8,dampmcmuffin,admin,9,1716,1869,43,0,155,0
#8PRP9L28Q,Eknight_Br,admin,10,1697,1911,473,0,0,0
#YUQ298QJG,JacksonFoxDog17,admin,10,1647,1696,34,35,66,0
#LUCUVV9CC,7AFEZ,admin,9,1625,1650,56,63,155,0
#P29LJ8L,amanda,member,9,1589,1799,85,0,0,0
#2PRPCLLUY,bob the third,admin,10,1584,1806,209,0,0,0
#9UPVVQR92,$laapy*,admin,10,1572,1624,28,89,88,0
#Q0QJJCL0,strahovski,admin,10,1566,2023,307,0,0,0
#P99PQRL22,chickenpotpie,coLeader,9,1528,1542,59,0,72,0
#QJPV0YP9U,gabe,admin,9,1525,1571,25,13,0,0
#GQ2GU92J,BeastDirtBag,member,9,1450,2598,107,20,31,0
#Q8RJV82YL,Whiskeywolf187,admin,10,1344,1360,56,0,132,0
#LY89CVUYL,abibliophobix,admin,8,1214,1316,17,23,15,0
#QR8C0ULGV,先輩 senpai d,admin,9,1114,1303,24,25,114,0
#QJGQJPC88,Big T,admin,8,964,1082,14,27,501,0
#QJJCQ9RJ9,Chickenpotpie14,member,8,963,1088,21,0,20,0
#QG82JUGJ0,FancyFrank$,admin,8,938,1309,4,0,26,0
#PJQ0PQ8VR,joao,member,9,911,1000,0,0,0,0
#YVGR8RVLL,( ͡° ͜ʖ ͡°),member,6,842,842,0,0,0,0
